customer_id,age,gender,annual_income,time_on_site_minutes,items_purchased_monthly,has_subscribed
1,56,Wanita,157,85,3,1
2,46,Pria,47,151,5,0
3,32,Pria,252,145,2,1
4,60,Wanita,83,30,4,0
5,25,Pria,87,30,2,0
6,38,Pria,203,116,3,0
7,56,Pria,143,96,1,0
8,36,Pria,180,108,2,1
9,40,Wanita,156,103,5,0
10,28,Wanita,184,159,1,1
11,28,Wanita,133,124,1,0
12,41,Wanita,275,130,3,1
13,53,Wanita,205,66,3,0
14,57,Pria,68,30,4,1
15,41,Wanita,199,164,2,1
16,20,Wanita,276,205,4,0
17,39,Wanita,55,106,5,0
18,19,Wanita,42,129,4,1
19,41,Pria,65,132,1,1
20,61,Pria,202,187,2,0
21,47,Pria,49,155,3,1
22,55,Pria,293,139,1,1
23,19,Wanita,171,122,0,1
24,38,Wanita,172,122,5,1
25,50,Pria,121,62,7,1
26,29,Wanita,244,104,3,0
27,39,Pria,80,155,4,0
28,61,Pria,182,110,4,0
29,42,Pria,215,121,3,1
30,44,Pria,92,72,2,1
31,59,Wanita,219,137,0,0
32,45,Pria,154,61,2,1
33,33,Wanita,179,131,4,1
34,32,Wanita,87,112,5,0
35,64,Pria,209,50,0,0
36,61,Wanita,199,162,6,0
37,20,Wanita,83,113,5,0
38,54,Pria,130,194,6,0
39,24,Pria,293,179,2,0
40,38,Pria,82,84,3,0
41,26,Pria,89,88,4,0
42,56,Pria,137,73,6,0
43,35,Wanita,34,56,4,0
44,21,Wanita,132,103,4,1
45,42,Pria,225,177,4,0
46,31,Pria,291,43,6,1
47,26,Wanita,76,154,2,1
48,43,Pria,173,150,3,0
49,19,Pria,298,142,3,0
50,37,Pria,153,149,2,0
51,45,Wanita,135,75,3,0
52,64,Pria,187,150,1,1
53,24,Wanita,176,98,3,0
54,61,Wanita,174,30,1,0
55,25,Pria,149,122,3,0
56,64,Wanita,121,86,3,0
57,52,Pria,87,174,3,1
58,31,Wanita,258,108,6,0
59,34,Wanita,146,121,3,0
60,53,Wanita,156,135,0,0
61,57,Pria,158,109,3,1
62,21,Wanita,87,115,3,0
63,19,Pria,151,153,3,0
64,23,Pria,30,77,2,1
65,59,Pria,268,91,4,0
66,21,Wanita,125,81,4,1
67,46,Wanita,155,177,5,1
68,35,Pria,147,91,1,1
69,43,Wanita,77,114,8,1
70,61,Pria,118,95,2,1
71,51,Wanita,266,107,5,1
72,27,Pria,218,90,7,1
73,53,Wanita,221,138,2,1
74,31,Pria,98,78,3,0
75,48,Wanita,276,65,7,0
76,32,Pria,105,97,0,0
77,25,Pria,183,88,5,0
78,31,Pria,173,66,3,0
79,40,Wanita,115,107,3,0
80,57,Wanita,214,53,4,0
81,38,Pria,249,189,2,1
82,33,Wanita,98,60,7,1
83,62,Wanita,76,94,3,0
84,35,Wanita,123,103,1,0
85,64,Wanita,267,187,2,1
86,41,Pria,233,50,5,0
87,43,Pria,247,125,3,1
88,42,Wanita,68,161,2,0
89,62,Wanita,129,107,8,0
90,58,Wanita,283,73,3,1
91,46,Pria,251,115,5,0
92,32,Pria,52,181,3,1
93,62,Wanita,279,95,2,1
94,18,Wanita,39,177,1,0
95,42,Wanita,275,130,1,1
96,24,Wanita,129,169,1,1
97,26,Wanita,209,128,5,0
98,41,Pria,252,100,10,1
99,18,Pria,279,185,1,0
100,61,Wanita,176,129,4,1
101,25,Wanita,125,126,2,1
102,41,Pria,286,152,1,0
103,28,Pria,33,156,2,1
104,34,Wanita,45,152,4,1
105,25,Pria,276,65,5,1
106,52,Pria,287,94,6,1
107,52,Wanita,189,93,4,1
108,50,Wanita,181,88,3,0
109,22,Wanita,207,85,0,1
110,59,Pria,192,93,1,0
111,56,Wanita,62,133,0,0
112,58,Pria,208,139,3,1
113,45,Pria,130,119,1,0
114,24,Wanita,297,102,2,0
115,26,Wanita,94,171,5,0
116,25,Wanita,197,116,1,0
117,29,Wanita,72,157,1,1
118,51,Wanita,73,97,3,0
119,50,Pria,41,136,7,1
120,40,Pria,124,173,4,0
121,41,Pria,282,30,0,1
122,54,Pria,271,93,1,0
123,52,Wanita,64,143,5,0
124,61,Pria,244,168,3,1
125,57,Wanita,119,128,6,1
126,39,Wanita,293,121,4,0
127,44,Wanita,122,184,1,0
128,52,Wanita,119,170,1,0
129,18,Wanita,144,85,4,0
130,52,Pria,134,124,0,1
131,54,Pria,225,134,1,0
132,64,Wanita,143,188,4,0
133,31,Pria,104,154,2,0
134,20,Pria,246,115,8,0
135,18,Wanita,278,128,1,0
136,22,Pria,193,44,3,0
137,43,Wanita,221,158,5,0
138,31,Wanita,256,145,0,0
139,56,Wanita,206,168,3,1
140,44,Pria,128,114,3,0
141,26,Pria,65,125,1,1
142,32,Wanita,125,100,2,0
143,32,Pria,181,74,0,1
144,43,Wanita,180,95,2,1
145,59,Wanita,219,47,0,1
146,30,Wanita,253,156,3,1
147,49,Pria,66,33,5,0
148,56,Pria,297,201,3,0
149,49,Wanita,212,49,3,0
150,21,Pria,42,179,4,0
